Python Tricks,Dan Bader, "October 25, 2017",29.99
Mindset,Dr. Carol Dweck, "January 12, 2017",25.64
Python Crash Course,Eric Matthes, "May 3, 2019",21.24
Automate the Boring Stuff with Python,A1 Sweigart, "November 12, 2016",44.21
Learning Python,Mark Lutz, "July 16, 2013,43.77
Python for Data Analysis,Wes McKinney, "October 24, 2017",36.01
Cracking the Coding Interview,Gayle Laakmann McDowell,"July 1, 2015",30.22

